"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4872e-05,-3.073e-09,1.4497e-07,-1.4653e-10,0.00081925,-3.073e-09,1.4497e-07,-1.4653e-10,-2.3238e-12,1.2535e-10,-1.0837e-12,-2.3238e-12,1.2535e-10,-1.0837e-12,1.0605,0.002449,0,1,0,0.065,0,0.03
3.3613e-05,-7.0685e-09,3.3045e-07,-2.4759e-10,0.00094065,-7.0685e-09,3.3045e-07,-2.4759e-10,-1.2453e-11,6.1756e-10,-1.5868e-12,-1.2453e-11,6.1756e-10,-1.5868e-12,0.72912,0.0016836,-7.0493e-29,1,0.00025,0.06525,0,0.03
5.2353e-05,-1.1064e-08,5.1594e-07,-3.4865e-10,0.001062,-1.1064e-08,5.1594e-07,-3.4864e-10,-2.2582e-11,1.1098e-09,-2.0898e-12,-2.2582e-11,1.1098e-09,-2.0898e-12,0.39771,0.00091837,-1.8219e-13,1,0.0005,0.0655,0,0.03
7.1094e-05,-1.506e-08,7.0142e-07,-4.4971e-10,0.0011834,-1.506e-08,7.0142e-07,-4.497e-10,-3.2711e-11,1.602e-09,-2.5929e-12,-3.2711e-11,1.602e-09,-2.5929e-12,0.066285,0.00015306,-2.8197e-28,1,0.00075001,0.06575,0,0.03
0.00010489,-2.2391e-08,1.0409e-06,-5.7796e-10,0.0014368,-2.2391e-08,1.0409e-06,-5.7796e-10,-6.4659e-11,3.1181e-09,-2.7221e-12,-6.4659e-11,3.1181e-09,-2.7221e-12,9.9989e-11,-3.4811e-17,0,1,0.001,0.066,0,0.03
0.00014245,-3.0556e-08,1.4188e-06,-7.1302e-10,0.0017231,-3.0556e-08,1.4188e-06,-7.1302e-10,-1.0206e-10,4.8903e-09,-2.7579e-12,-1.0206e-10,4.8903e-09,-2.7579e-12,9.9991e-11,-3.4811e-17,1.3604e-14,1,0.00125,0.06625,0,0.03
0.00018001,-3.8722e-08,1.7968e-06,-8.4808e-10,0.0020094,-3.8721e-08,1.7968e-06,-8.4808e-10,-1.3947e-10,6.6626e-09,-2.7938e-12,-1.3947e-10,6.6626e-09,-2.7938e-12,1.0001e-10,3.3724e-17,7.0493e-29,1,0.0015,0.0665,0,0.03
0.00023597,-5.1012e-08,2.366e-06,-1.0418e-09,0.0025199,-5.1012e-08,2.366e-06,-1.0418e-09,-2.1644e-10,1.0264e-08,-2.6452e-12,-2.1644e-10,1.0264e-08,-2.6452e-12,9.9993e-11,-3.4813e-17,-7.0493e-29,1,0.00175,0.06675,0,0.03
0.00030418,-6.6054e-08,3.0628e-06,-1.2746e-09,0.0031799,-6.6054e-08,3.0628e-06,-1.2746e-09,-3.198e-10,1.5085e-08,-2.3737e-12,-3.198e-10,1.5085e-08,-2.3737e-12,1e-10,0,0,1,0.002,0.067,0,0.03
0.00037239,-8.1095e-08,3.7596e-06,-1.5074e-09,0.0038399,-8.1095e-08,3.7596e-06,-1.5074e-09,-4.2315e-10,1.9907e-08,-2.1023e-12,-4.2315e-10,1.9907e-08,-2.1023e-12,1e-10,0,-7.0493e-29,1,0.00225,0.06725,0,0.03
0.00046935,-1.0264e-07,4.7569e-06,-1.8291e-09,0.0048682,-1.0264e-07,4.7569e-06,-1.8291e-09,-5.9514e-10,2.7886e-08,-2.125e-12,-5.9514e-10,2.7886e-08,-2.125e-12,1e-10,0,1.4099e-28,1,0.0025,0.0675,0,0.03
0.00060941,-1.3395e-07,6.205e-06,-2.2839e-09,0.006449,-1.3395e-07,6.205e-06,-2.2839e-09,-8.7006e-10,4.0603e-08,-2.589e-12,-8.7006e-10,4.0603e-08,-2.589e-12,1e-10,3.3726e-17,1.2687e-14,1,0.00275,0.06775,0,0.03
0.00074949,-1.6526e-07,7.6531e-06,-2.7388e-09,0.0080298,-1.6526e-07,7.6531e-06,-2.7388e-09,-1.145e-09,5.3321e-08,-3.053e-12,-1.145e-09,5.3321e-08,-3.053e-12,1e-10,3.3726e-17,0,1,0.003,0.068,0,0.03
0.00092381,-2.044e-07,9.4624e-06,-3.2804e-09,0.010038,-2.044e-07,9.4624e-06,-3.2804e-09,-1.5078e-09,7.0078e-08,-4.1876e-12,-1.5078e-09,7.0078e-08,-4.1876e-12,1e-10,0,-1.4099e-28,1,0.00325,0.06825,0,0.03
0.0012352,-2.7489e-07,1.2717e-05,-4.169e-09,0.013753,-2.7489e-07,1.2717e-05,-4.169e-09,-2.222e-09,1.03e-07,-8.0047e-12,-2.222e-09,1.03e-07,-8.0047e-12,9.9999e-11,-3.4814e-17,4.9028e-14,1,0.0035,0.0685,0,0.03
0.0015466,-3.4537e-07,1.5971e-05,-5.0576e-09,0.017469,-3.4537e-07,1.5971e-05,-5.0576e-09,-2.9362e-09,1.3591e-07,-1.1822e-11,-2.9362e-09,1.3591e-07,-1.1822e-11,1e-10,3.2638e-17,3.5247e-29,1,0.00375,0.06875,0,0.03
