"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.20395,0,0,0,0,0,0,0,0,0,0.54047,0.018131,0.0048996,0.0037554,0,1,0,0.065,0,0.04
0.0081807,-1.7515e-06,8.0376e-05,-5.1561e-09,0.20835,-1.7513e-06,8.0369e-05,-5.1544e-09,-1.6331e-06,7.5226e-05,-1.6769e-08,-1.6331e-06,7.5226e-05,-1.6769e-08,0.54653,0.0062325,0.0016842,0.0012909,-2.1148e-28,1,0.00025,0.06525,0,0.04
0.012144,-2.6077e-06,0.00011965,-6.8117e-09,0.21118,-2.6075e-06,0.00011963,-6.8095e-09,-2.4325e-06,0.00011194,-2.2071e-08,-2.4325e-06,0.00011194,-2.2071e-08,0.55259,0.0033996,0.00091868,0.00070415,-1.8219e-13,1,0.0005,0.0655,0,0.04
0.016108,-3.464e-06,0.00015892,-8.4674e-09,0.214,-3.4637e-06,0.0001589,-8.4646e-09,-3.2318e-06,0.00014866,-2.7373e-08,-3.2318e-06,0.00014866,-2.7373e-08,0.55865,0.0005666,0.00015311,0.00011736,0,1,0.00075001,0.06575,0,0.04
0.021368,-4.6195e-06,0.0002119,-9.6224e-09,0.22161,-4.619e-06,0.00021188,-9.6194e-09,-4.3055e-06,0.00019792,-3.0374e-08,-4.3055e-06,0.00019792,-3.0374e-08,0.57818,1e-10,6.8542e-17,1e-10,7.0493e-29,1,0.001,0.066,0,0.04
0.026953,-5.8497e-06,0.00026831,-1.0652e-08,0.23042,-5.8492e-06,0.00026828,-1.0649e-08,-5.4478e-06,0.00025031,-3.2798e-08,-5.4478e-06,0.00025031,-3.2798e-08,0.60107,1e-10,0,1e-10,1.3604e-14,1,0.00125,0.06625,0,0.04
0.032538,-7.08e-06,0.00032472,-1.1682e-08,0.23923,-7.0794e-06,0.00032469,-1.1679e-08,-6.5901e-06,0.0003027,-3.5223e-08,-6.5901e-06,0.0003027,-3.5223e-08,0.62397,1e-10,0,1e-10,1.4099e-28,1,0.0015,0.0665,0,0.04
0.038699,-8.4545e-06,0.00038776,-1.2814e-08,0.2538,-8.4537e-06,0.00038773,-1.2811e-08,-7.8504e-06,0.00036055,-3.6976e-08,-7.8504e-06,0.00036055,-3.6976e-08,0.66179,1e-10,0,1e-10,-7.0493e-29,1,0.00175,0.06675,0,0.04
0.045244,-9.9252e-06,0.00045523,-1.4014e-08,0.27221,-9.9243e-06,0.00045519,-1.401e-08,-9.1893e-06,0.00042203,-3.828e-08,-9.1893e-06,0.00042203,-3.828e-08,0.70957,1e-10,0,1e-10,0,1,0.002,0.067,0,0.04
0.05179,-1.1396e-05,0.00052269,-1.5214e-08,0.29063,-1.1395e-05,0.00052264,-1.521e-08,-1.0528e-05,0.00048352,-3.9584e-08,-1.0528e-05,0.00048352,-3.9584e-08,0.75735,1e-10,6.7455e-17,1e-10,0,1,0.00225,0.06725,0,0.04
