"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14958,-3.1706e-05,0.0014581,-2.0433e-07,6.3328,-3.1703e-05,0.0014579,-2.0637e-07,-3.5009e-05,0.0015674,-0.00031405,-3.5009e-05,0.0015674,-0.00031405,0.00018044,0.0024499,-1.6918e-27,1,0,0.065,0,0.05
0.24187,-5.1681e-05,0.0023744,-2.3778e-07,5.6336,-5.1676e-05,0.0023742,-2.4048e-07,-4.8012e-05,0.0021485,-0.00041264,-4.8012e-05,0.0021485,-0.00041264,0.00012405,0.0016843,-2.8197e-28,1,0.00025,0.06525,0,0.05
0.33417,-7.1655e-05,0.0032907,-2.7123e-07,4.9345,-7.1649e-05,0.0032904,-2.7458e-07,-6.1013e-05,0.0027297,-0.00051124,-6.1013e-05,0.0027297,-0.00051124,6.7664e-05,0.00091873,-1.8219e-13,1,0.0005,0.0655,0,0.05
0.42646,-9.1629e-05,0.004207,-3.0468e-07,4.2353,-9.1622e-05,0.0042067,-3.0868e-07,-7.4015e-05,0.0033109,-0.00060983,-7.4015e-05,0.0033109,-0.00060983,1.1277e-05,0.00015312,-1.1279e-27,1,0.00075001,0.06575,0,0.05
0.50066,-0.00010807,0.0049603,-2.6407e-07,3.6054,-0.00010806,0.00496,-2.682e-07,-7.6801e-05,0.0034068,-0.0006295,-7.6801e-05,0.0034068,-0.0006295,1e-10,0,-3.5247e-29,1,0.001,0.066,0,0.05
0.57033,-0.00012362,0.0056729,-2.0493e-07,2.9927,-0.00012362,0.0056726,-2.0907e-07,-7.7033e-05,0.0033814,-0.00062945,-7.7033e-05,0.0033814,-0.00062945,1e-10,-6.7458e-17,1.3604e-14,1,0.00125,0.06625,0,0.05
0.64001,-0.00013918,0.0063855,-1.4579e-07,2.3801,-0.00013917,0.0063851,-1.4994e-07,-7.7264e-05,0.0033561,-0.00062939,-7.7264e-05,0.0033561,-0.00062939,1e-10,0,0,1,0.0015,0.0665,0,0.05
0.69047,-0.00015071,0.0069139,-9.4274e-08,1.9614,-0.0001507,0.0069136,-9.8417e-08,-7.5151e-05,0.0031974,-0.00062812,-7.5151e-05,0.0031974,-0.00062812,1e-10,-6.7459e-17,0,1,0.00175,0.06675,0,0.05
0.72813,-0.00015955,0.0073196,-4.7832e-08,1.6719,-0.00015954,0.0073193,-5.1961e-08,-7.1475e-05,0.0029497,-0.00062604,-7.1475e-05,0.0029497,-0.00062604,1e-10,0,0,1,0.002,0.067,0,0.05
0.76579,-0.00016839,0.0077253,-1.391e-09,1.3824,-0.00016838,0.007725,-5.5069e-09,-6.7799e-05,0.0027021,-0.00062396,-6.7799e-05,0.0027021,-0.00062396,1e-10,-6.746e-17,0,1,0.00225,0.06725,0,0.05
