"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.13709,0.023049,0.0097921,0,1,0,0.065,0,0.04
0.0069796,3.8518e-08,6.8699e-05,-1.0075e-07,0.16776,0.0086435,0.003672,2.4783e-32,1,0.00025,0.06525,0,0.04
0.010409,4.8585e-08,0.00010278,-1.3807e-07,0.18202,0.0057624,0.002448,0,1,0.0005,0.0655,0,0.04
0.013838,5.8653e-08,0.00013687,-1.7539e-07,0.19627,0.0028811,0.001224,-2.4783e-32,1,0.00075001,0.06575,0,0.04
0.017268,6.872e-08,0.00017095,-2.1271e-07,0.21052,-1.7656e-16,-8.3744e-17,-1.9827e-31,1,0.001,0.066,0,0.04
0.023543,8.0554e-08,0.00023467,-2.5514e-07,0.23658,0,0,-4.9566e-32,1,0.00125,0.06625,0,0.04
0.029819,9.2388e-08,0.00029839,-2.9758e-07,0.26264,0,0,0,1,0.0015,0.0665,0,0.04
0.036095,1.0422e-07,0.00036211,-3.4001e-07,0.2887,0,0,4.9566e-32,1,0.00175,0.06675,0,0.04
0.042371,1.1606e-07,0.00042583,-3.8245e-07,0.31477,8.9213e-17,6.5269e-17,0,1,0.002,0.067,0,0.04
0.051688,1.3732e-07,0.00052245,-4.2897e-07,0.35411,0,0,-2.4783e-32,1,0.00225,0.06725,0,0.04
0.061005,1.586e-07,0.00061907,-4.7549e-07,0.39345,0,0,0,1,0.0025,0.0675,0,0.04
0.070322,1.7986e-07,0.00071569,-5.2201e-07,0.43279,0,0,2.4783e-32,1,0.00275,0.06775,0,0.04
0.079639,2.0114e-07,0.00081231,-5.6853e-07,0.47213,-1.2165e-16,-1.349e-16,1.9827e-31,1,0.003,0.068,0,0.04
0.093368,2.2539e-07,0.0009574,-6.242e-07,0.52601,0,0,-4.9566e-32,1,0.00325,0.06825,0,0.04
0.1071,2.4964e-07,0.0011025,-6.7986e-07,0.5799,0,0,2.079e-25,1,0.0035,0.0685,0,0.04
0.12083,2.739e-07,0.0012476,-7.3552e-07,0.63379,0,0,0,1,0.00375,0.06875,0,0.04
0.13456,2.9815e-07,0.0013927,-7.9119e-07,0.68768,0,0,1.9827e-31,1,0.004,0.069,0,0.04
0.15393,3.1849e-07,0.0016011,-8.5254e-07,0.75145,3.8227e-17,6.7451e-17,0,1,0.00425,0.06925,0,0.04
0.17329,3.3882e-07,0.0018095,-9.1389e-07,0.81523,0,0,0,1,0.0045,0.0695,0,0.04
0.19266,3.5916e-07,0.0020179,-9.7524e-07,0.87901,0,0,-9.9133e-32,1,0.00475,0.06975,0,0.04
