"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.21203,3.795e-07,0.0022263,-1.0366e-06,0.94278,0,0,0,1,0.005,0.07,0,0.04
0.23742,3.905e-07,0.0025047,-1.094e-06,1.0044,2.6974e-17,6.5276e-17,-2.4783e-32,1,0.00525,0.07025,0,0.04
0.26281,4.015e-07,0.0027831,-1.1514e-06,1.066,0,0,0,1,0.0055,0.0705,0,0.04
0.28821,4.125e-07,0.0030614,-1.2087e-06,1.1276,0,0,-2.4783e-32,1,0.00575,0.07075,0,0.04
0.3136,4.235e-07,0.0033398,-1.2661e-06,1.1891,0,0,-9.9133e-32,1,0.006,0.071,0,0.04
0.34392,4.2112e-07,0.003679,-1.3059e-06,1.2317,0,0,4.0605e-28,1,0.00625,0.07125,0,0.04
0.37424,4.1875e-07,0.0040182,-1.3457e-06,1.2743,-2.2138e-17,-6.9628e-17,1.5811e-22,1,0.0065,0.0715,0,0.04
0.40456,4.1638e-07,0.0043574,-1.3855e-06,1.3169,0,0,-1.0151e-28,1,0.00675,0.07175,0,0.04
0.43487,4.14e-07,0.0046966,-1.4253e-06,1.3595,-2.0524e-17,-6.9628e-17,2.8423e-27,1,0.007,0.072,0,0.04
0.46743,3.9761e-07,0.0050694,-1.4348e-06,1.3686,0,0,-2.0302e-28,1,0.00725,0.07225,0,0.04
0.49998,3.8123e-07,0.0054421,-1.4443e-06,1.3777,0,0,0,1,0.0075,0.0725,0,0.04
0.53253,3.6484e-07,0.0058149,-1.4539e-06,1.3869,-4.0055e-17,-1.3926e-16,-1.0151e-28,1,0.00775,0.07275,0,0.04
0.56508,3.4845e-07,0.0061876,-1.4634e-06,1.396,0,0,-2.0302e-27,1,0.008,0.073,0,0.04
0.59627,3.2178e-07,0.006555,-1.4375e-06,1.3672,1.9676e-17,6.7452e-17,-2.4783e-32,1,0.00825,0.07325,0,0.04
0.62745,2.951e-07,0.0069223,-1.4115e-06,1.3385,0,0,0,1,0.0085,0.0735,0,0.04
0.65864,2.6843e-07,0.0072897,-1.3856e-06,1.3097,-2.1209e-17,-6.9628e-17,4.9566e-32,1,0.00875,0.07375,0,0.04
0.68983,2.4175e-07,0.0076571,-1.3597e-06,1.281,0,0,2.974e-31,1,0.009,0.074,0,0.04
0.7164,2.1181e-07,0.0079819,-1.3044e-06,1.2229,-2.291e-17,-6.9628e-17,2.4783e-32,1,0.00925,0.07425,0,0.04
0.74297,1.8187e-07,0.0083066,-1.2491e-06,1.1648,0,0,0,1,0.0095,0.0745,0,0.04
0.76954,1.5194e-07,0.0086314,-1.1939e-06,1.1067,-2.5413e-17,-6.9628e-17,-9.9133e-32,1,0.00975,0.07475,0,0.04
0.79611,1.22e-07,0.0089562,-1.1386e-06,1.0486,0,0,1.9827e-31,1,0.01,0.075,0,0.04
0.81623,9.6125e-08,0.0092155,-1.0688e-06,0.97812,0,0,-2.0302e-28,1,0.01025,0.07525,0,0.04
0.83635,7.025e-08,0.0094747,-9.9899e-07,0.90762,0,0,1.4147e-22,1,0.0105,0.0755,0,0.04
0.85648,4.4374e-08,0.009734,-9.2919e-07,0.83712,-3.4421e-17,-6.9628e-17,1.0151e-28,1,0.01075,0.07575,0,0.04
0.8766,1.8499e-08,0.0099933,-8.5939e-07,0.76662,0,0,8.1209e-28,1,0.011,0.076,0,0.04
0.89019,1.2485e-09,0.010183,-7.9122e-07,0.70064,-4.2145e-17,-6.9627e-17,-1.0151e-28,1,0.01125,0.07625,0,0.04
0.90378,-1.6002e-08,0.010373,-7.2306e-07,0.63466,0,0,0,1,0.0115,0.0765,0,0.04
0.91738,-3.3252e-08,0.010563,-6.549e-07,0.56868,-5.2423e-17,-6.9627e-17,0,1,0.01175,0.07675,0,0.04
0.93097,-5.0502e-08,0.010753,-5.8674e-07,0.5027,5.7562e-17,6.9627e-17,-1.2181e-27,1,0.012,0.077,0,0.04
0.93921,-5.8752e-08,0.010884,-5.3123e-07,0.45153,0,0,-7.4349e-32,1,0.01225,0.07725,0,0.04
0.94745,-6.7002e-08,0.011015,-4.7571e-07,0.40037,0,0,0,1,0.0125,0.0775,0,0.04
0.9557,-7.5252e-08,0.011147,-4.202e-07,0.3492,0,0,-4.9566e-32,1,0.01275,0.07775,0,0.04
0.96394,-8.3503e-08,0.011278,-3.6468e-07,0.29804,9.6222e-17,6.7451e-17,9.9133e-32,1,0.013,0.078,0,0.04
0.96848,-8.544e-08,0.011368,-3.2554e-07,0.26397,0,0,-2.4783e-32,1,0.01325,0.07825,0,0.04
0.97302,-8.7377e-08,0.011458,-2.864e-07,0.2299,0,0,0,1,0.0135,0.0785,0,0.04
0.97756,-8.9314e-08,0.011548,-2.4726e-07,0.19583,-1.6522e-16,-6.9627e-17,0,1,0.01375,0.07875,0,0.04
0.9821,-9.1251e-08,0.011638,-2.0812e-07,0.16176,-1.8718e-16,-6.9627e-17,9.9133e-32,1,0.014,0.079,0,0.04
0.98441,-9.0125e-08,0.011702,-1.8359e-07,0.14177,0,0,1.0151e-28,1,0.01425,0.07925,0,0.04
0.98672,-8.9e-08,0.011767,-1.5906e-07,0.12179,2.7329e-16,6.7451e-17,1.2786e-22,1,0.0145,0.0795,0,0.04
0.98903,-8.7874e-08,0.011831,-1.3453e-07,0.1018,0,0,-1.0151e-28,1,0.01475,0.07975,0,0.04
0.99133,-8.6748e-08,0.011896,-1.1e-07,0.081811,-3.7702e-16,-6.9627e-17,8.1209e-28,1,0.015,0.08,0,0.04
0.99244,-8.4872e-08,0.011947,-9.5901e-08,0.071228,0,0,-3.0454e-28,1,0.01525,0.08025,0,0.04
0.99355,-8.2997e-08,0.011997,-8.1807e-08,0.060646,0,0,0,1,0.0155,0.0805,0,0.04
0.99466,-8.1121e-08,0.012048,-6.7712e-08,0.050064,6.6498e-16,6.7451e-17,-1.0151e-28,1,0.01575,0.08075,0,0.04
0.99576,-7.9246e-08,0.012099,-5.3618e-08,0.039482,-7.8957e-16,-6.9627e-17,0,1,0.016,0.081,0,0.04
0.99628,-7.7747e-08,0.012142,-4.5827e-08,0.034294,-1.0081e-15,-6.9627e-17,0,1,0.01625,0.08125,0,0.04
0.99679,-7.6248e-08,0.012186,-3.8035e-08,0.029107,0,0,0,1,0.0165,0.0815,0,0.04
0.99731,-7.475e-08,0.01223,-3.0243e-08,0.02392,0,0,4.9566e-32,1,0.01675,0.08175,0,0.04
0.99782,-7.3251e-08,0.012273,-2.2452e-08,0.018732,-1.6637e-15,-6.9626e-17,-9.9133e-32,1,0.017,0.082,0,0.04
0.99806,-7.2251e-08,0.012314,-1.7964e-08,0.016311,0,0,0,1,0.01725,0.08225,0,0.04
0.9983,-7.1252e-08,0.012354,-1.3477e-08,0.01389,0,0,1.186e-22,1,0.0175,0.0825,0,0.04
0.99854,-7.0252e-08,0.012394,-8.9895e-09,0.011469,0,0,1.0151e-28,1,0.01775,0.08275,0,0.04
0.99878,-6.9253e-08,0.012435,-4.5021e-09,0.0090484,0,0,1.6242e-27,1,0.018,0.083,0,0.04
0.99889,-6.8564e-08,0.012474,-1.5296e-09,0.0079409,-4.1844e-15,-6.9622e-17,-1.5861e-30,1,0.01825,0.08325,0,0.04
0.99901,-6.7876e-08,0.012513,1.4429e-09,0.0068335,0,0,0,1,0.0185,0.0835,0,0.04
0.99912,-6.7187e-08,0.012551,4.4154e-09,0.0057261,5.5673e-15,6.7448e-17,0,1,0.01875,0.08375,0,0.04
0.99923,-6.6499e-08,0.01259,7.3879e-09,0.0046187,-1.2648e-14,-1.349e-16,1.2689e-29,1,0.019,0.084,0,0.04
0.99929,-6.5874e-08,0.012629,9.7616e-09,0.0041084,-7.7515e-15,-6.9637e-17,1.0151e-28,1,0.01925,0.08425,0,0.04
0.99935,-6.5249e-08,0.012667,1.2135e-08,0.0035981,0,0,0,1,0.0195,0.0845,0,0.04
0.99941,-6.4624e-08,0.012705,1.4509e-08,0.0030878,0,0,1.0151e-28,1,0.01975,0.08475,0,0.04
0.99947,-6.3999e-08,0.012743,1.6883e-08,0.0025776,0,0,-8.1209e-28,1,0.02,0.085,0,0.04
0.9995,-6.2562e-08,0.012781,1.887e-08,0.0023353,0,0,2.4783e-32,1,0.02025,0.08525,0,0.04
0.99953,-6.1125e-08,0.012819,2.0858e-08,0.0020931,0,0,0,1,0.0205,0.0855,0,0.04
0.99956,-5.9688e-08,0.012857,2.2846e-08,0.0018509,0,0,3.7175e-32,1,0.02075,0.08575,0,0.04
0.99959,-5.8251e-08,0.012895,2.4834e-08,0.0016086,0,0,-9.9133e-32,1,0.021,0.086,0,0.04
0.99961,-5.5251e-08,0.012932,2.5606e-08,0.0014872,0,0,0,1,0.02125,0.08625,0,0.04
0.99963,-5.2251e-08,0.01297,2.6378e-08,0.0013657,0,0,1.08e-22,1,0.0215,0.0865,0,0.04
0.99965,-4.925e-08,0.013008,2.715e-08,0.0012443,0,0,-2.0302e-28,1,0.02175,0.08675,0,0.04
0.99967,-4.625e-08,0.013046,2.7922e-08,0.0011228,2.4632e-14,6.8187e-17,1.6242e-27,1,0.022,0.087,0,0.04
0.99968,-4.2437e-08,0.013083,2.5274e-08,0.0010541,2.6557e-14,6.8289e-17,7.9306e-31,1,0.02225,0.08725,0,0.04
0.99969,-3.8624e-08,0.013121,2.2626e-08,0.00098542,0,0,0,1,0.0225,0.0875,0,0.04
0.9997,-3.4812e-08,0.013159,1.9978e-08,0.00091673,0,0,7.9306e-31,1,0.02275,0.08775,0,0.04
0.99972,-3.0999e-08,0.013196,1.7331e-08,0.00084804,0,0,3.1722e-30,1,0.023,0.088,0,0.04
0.99972,-3.0562e-08,0.013234,1.0584e-08,0.00080384,3.4635e-14,6.8497e-17,0,1,0.02325,0.08825,0,0.04
0.99973,-3.0124e-08,0.013271,3.8361e-09,0.00075964,0,0,0,1,0.0235,0.0885,0,0.04
0.99974,-2.9687e-08,0.013309,-2.9111e-09,0.00071544,3.7978e-14,6.6097e-17,1.0151e-28,1,0.02375,0.08875,0,0.04
0.99975,-2.9249e-08,0.013347,-9.6586e-09,0.00067124,4.0209e-14,6.6002e-17,-1.2181e-27,1,0.024,0.089,0,0.04
0.99906,-2.6312e-08,0.013375,-1.0555e-08,0.00065069,0.84232,0.0012397,1.2392e-32,1,0.02425,0.08925,0,0.04
0.99836,-2.3374e-08,0.013403,-1.145e-08,0.00063014,1.6847,0.0024795,0,1,0.0245,0.0895,0,0.04
0.99767,-2.0436e-08,0.013431,-1.2346e-08,0.00060959,2.527,0.0037192,1.2392e-32,1,0.02475,0.08975,0,0.04
0.99976,0,0.013497,0,0.00057685,6.7386,0.009918,0,1,0.025,0.09,0,0.04
