"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2439e-14,2.4993e-16,1.9883e-17,-1.9281e-16,1.4937e-12,2.3664e-16,2.1348e-17,-2.0969e-16,-1.9331e-12,2.2367e-13,-5.8915e-12,-1.9331e-12,2.2367e-13,-5.8915e-12,2.9894e+08,0.0015078,-1.1279e-27,1,0,0.065,0,0.01
4.3469e-14,3.34e-16,3.4688e-17,-2.6258e-16,1.291e-12,3.2242e-16,3.6925e-17,-2.8815e-16,-1.0006e-12,3.1437e-13,-6.7091e-12,-1.0006e-12,3.1437e-13,-6.7091e-12,2.0552e+08,0.0010366,-7.0493e-29,1,0.00025,0.06525,0,0.01
5.4499e-14,4.1807e-16,4.9492e-17,-3.3235e-16,1.0883e-12,4.0819e-16,5.2501e-17,-3.666e-16,-6.8135e-14,4.0508e-13,-7.5267e-12,-6.8135e-14,4.0508e-13,-7.5267e-12,1.121e+08,0.00056542,-1.8219e-13,1,0.0005,0.0655,0,0.01
6.5529e-14,5.0214e-16,6.4297e-17,-4.0212e-16,8.8555e-13,4.9397e-16,6.8077e-17,-4.4505e-16,8.6435e-13,4.9578e-13,-8.3443e-12,8.6435e-13,4.9578e-13,-8.3443e-12,1.8684e+07,9.4236e-05,-8.4592e-28,1,0.00075001,0.06575,0,0.01
7.814e-14,5.8474e-16,9.3104e-17,-4.979e-16,1.0046e-12,5.7871e-16,9.7116e-17,-5.4819e-16,1.7972e-12,4.4963e-13,-7.4037e-12,1.7972e-12,4.4963e-13,-7.4037e-12,1e-10,0,3.5247e-29,1,0.001,0.066,0,0.01
9.1146e-14,6.6699e-16,1.2541e-16,-6.0019e-16,1.2042e-12,6.6321e-16,1.2952e-16,-6.575e-16,2.7301e-12,3.6927e-13,-6.0236e-12,2.7301e-12,3.6927e-13,-6.0236e-12,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.01
1.0415e-13,7.4924e-16,1.5772e-16,-7.0248e-16,1.4037e-12,7.477e-16,1.6193e-16,-7.6681e-16,3.663e-12,2.8891e-13,-4.6434e-12,3.663e-12,2.8891e-13,-4.6434e-12,1e-10,0,7.0493e-29,1,0.0015,0.0665,0,0.01
1.3815e-13,9.6583e-16,2.5523e-16,-9.5857e-16,2.0779e-12,9.6174e-16,2.5899e-16,-1.0309e-15,3.891e-12,1.2809e-13,-3.5199e-12,3.891e-12,1.2809e-13,-3.5199e-12,1e-10,0,-7.0493e-29,1,0.00175,0.06675,0,0.01
1.8615e-13,1.272e-15,3.9622e-16,-1.3172e-15,3.0684e-12,1.2621e-15,3.9915e-16,-1.3982e-15,3.649e-12,-8.6382e-14,-2.5675e-12,3.649e-12,-8.6382e-14,-2.5675e-12,1e-10,0,0,1,0.002,0.067,0,0.01
2.3415e-13,1.5782e-15,5.372e-16,-1.6759e-15,4.0589e-12,1.5626e-15,5.3932e-16,-1.7655e-15,3.407e-12,-3.0084e-13,-1.6151e-12,3.407e-12,-3.0084e-13,-1.6151e-12,1e-10,0,-7.0493e-29,1,0.00225,0.06725,0,0.01
3.2036e-13,2.1126e-15,9.0018e-16,-2.2874e-15,6.0998e-12,2.0901e-15,9.0018e-16,-2.3908e-15,3.3813e-12,-6.5804e-13,-8.6764e-13,3.3813e-12,-6.5804e-13,-8.6764e-13,1e-10,0,0,1,0.0025,0.0675,0,0.01
4.639e-13,2.9893e-15,1.5961e-15,-3.2781e-15,9.716e-12,2.9584e-15,1.5921e-15,-3.4029e-15,3.68e-12,-1.2293e-12,-4.2758e-13,3.68e-12,-1.2293e-12,-4.2758e-13,1.2384e-06,1.4756e-17,1.2687e-14,1,0.00275,0.06775,0,0.01
6.0744e-13,3.866e-15,2.2921e-15,-4.2689e-15,1.3332e-11,3.8267e-15,2.284e-15,-4.415e-15,3.9787e-12,-1.8006e-12,1.2488e-14,3.9787e-12,-1.8006e-12,1.2488e-14,1e-10,0,0,1,0.003,0.068,0,0.01
8.3228e-13,5.057e-15,3.6432e-15,-5.7611e-15,2.0572e-11,5.0082e-15,3.6292e-15,-5.9352e-15,4.3501e-12,-2.5378e-12,1.6922e-13,4.3501e-12,-2.5378e-12,1.6922e-13,1e-10,0,-1.4099e-28,1,0.00325,0.06825,0,0.01
1.3823e-12,7.5053e-15,7.615e-15,-9.259e-15,4.2305e-11,7.4421e-15,7.5877e-15,-9.4874e-15,5.0123e-12,-3.9387e-12,-8.0728e-13,5.0123e-12,-3.9387e-12,-8.0728e-13,1e-10,0,4.9028e-14,1,0.0035,0.0685,0,0.01
1.9323e-12,9.9536e-15,1.1587e-14,-1.2757e-14,6.4038e-11,9.8762e-15,1.1546e-14,-1.304e-14,5.6745e-12,-5.3397e-12,-1.7838e-12,5.6745e-12,-5.3397e-12,-1.7838e-12,1e-10,0,1.7623e-29,1,0.00375,0.06875,0,0.01
2.4824e-12,1.2402e-14,1.5559e-14,-1.6255e-14,8.5771e-11,1.231e-14,1.5505e-14,-1.6592e-14,6.3368e-12,-6.7406e-12,-2.7603e-12,6.3368e-12,-6.7406e-12,-2.7603e-12,1e-10,0,1.4099e-28,1,0.004,0.069,0,0.01
5.8129e-12,2.0209e-14,4.5764e-14,-3.3133e-14,3.0246e-10,2.0107e-14,4.5678e-14,-3.3573e-14,9.8375e-12,-9.3599e-12,-4.3828e-12,9.8375e-12,-9.3599e-12,-4.3828e-12,-1.147e-07,-1.6454e-17,-1.7623e-29,1,0.00425,0.06925,0,0.01
9.1434e-12,2.8016e-14,7.5969e-14,-5.0011e-14,5.1915e-10,2.7904e-14,7.5851e-14,-5.0554e-14,1.3338e-11,-1.1979e-11,-6.0052e-12,1.3338e-11,-1.1979e-11,-6.0052e-12,1e-10,0,4.7215e-14,1,0.0045,0.0695,0,0.01
