"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,3.3091,0,0,0,0,0,0,0,0,0,7.8661,0.0012457,0.0048996,0.0039372,0,1,0,0.065,0,0.05
0.12769,-2.7342e-05,0.0012544,-7.5172e-08,3.1363,-2.7341e-05,0.0012543,-7.5169e-08,-9.0013e-06,0.00041299,-2.5123e-08,-9.0013e-06,0.00041299,-2.5123e-08,7.6868,0.00042822,0.0016842,0.0013534,-2.8197e-28,1,0.00025,0.06525,0,0.05
0.18696,-4.0153e-05,0.0018418,-9.2728e-08,3.0379,-4.0152e-05,0.0018417,-9.2725e-08,-1.3011e-05,0.00059686,-2.8707e-08,-1.3011e-05,0.00059686,-2.8707e-08,7.5074,0.00023358,0.00091868,0.00073824,-1.8219e-13,1,0.0005,0.0655,0,0.05
0.24623,-5.2965e-05,0.0024292,-1.1029e-07,2.9394,-5.2964e-05,0.0024291,-1.1028e-07,-1.7021e-05,0.00078073,-3.2291e-08,-1.7021e-05,0.00078073,-3.2291e-08,7.328,3.893e-05,0.00015311,0.00012304,-1.1279e-27,1,0.00075001,0.06575,0,0.05
0.31209,-6.7463e-05,0.0030938,-1.0524e-07,2.7811,-6.7461e-05,0.0030937,-1.0524e-07,-2.0672e-05,0.00094806,-2.4827e-08,-2.0672e-05,0.00094806,-2.4827e-08,6.9585,1e-10,0,1e-10,-3.5247e-29,1,0.001,0.066,0,0.05
0.37959,-8.2382e-05,0.0037777,-9.4545e-08,2.6078,-8.2379e-05,0.0037776,-9.4544e-08,-2.4233e-05,0.0011113,-1.46e-08,-2.4233e-05,0.0011113,-1.46e-08,6.5414,1e-10,-6.7454e-17,1e-10,1.3604e-14,1,0.00125,0.06625,0,0.05
0.4471,-9.7301e-05,0.0044616,-8.385e-08,2.4346,-9.7298e-05,0.0044614,-8.385e-08,-2.7794e-05,0.0012745,-4.3738e-09,-2.7794e-05,0.0012745,-4.3738e-09,6.1243,1e-10,0,1e-10,0,1,0.0015,0.0665,0,0.05
0.50476,-0.00011026,0.0050557,-6.6599e-08,2.2531,-0.00011025,0.0050555,-6.6599e-08,-2.9844e-05,0.0013684,6.7185e-09,-2.9844e-05,0.0013684,6.7185e-09,5.6828,1e-10,-6.7454e-17,1e-10,0,1,0.00175,0.06675,0,0.05
0.55586,-0.00012191,0.0055899,-4.4975e-08,2.0662,-0.0001219,0.0055898,-4.4977e-08,-3.0888e-05,0.0014163,1.8389e-08,-3.0888e-05,0.0014163,1.8389e-08,5.2252,1e-10,0,1e-10,0,1,0.002,0.067,0,0.05
0.60695,-0.00013356,0.0061242,-2.3352e-08,1.8792,-0.00013355,0.006124,-2.3355e-08,-3.1932e-05,0.0014641,3.0059e-08,-3.1932e-05,0.0014641,3.0059e-08,4.7675,1e-10,-6.7454e-17,1e-10,0,1,0.00225,0.06725,0,0.05
0.65221,-0.00014401,0.0066036,-2.2042e-09,1.7038,-0.00014401,0.0066034,-2.208e-09,-3.2231e-05,0.0014778,3.9028e-08,-3.2231e-05,0.0014778,3.9028e-08,4.3354,1e-10,-6.7455e-17,1e-10,-2.1148e-28,1,0.0025,0.0675,0,0.05
0.6887,-0.00015267,0.0070007,1.8231e-08,1.5456,-0.00015267,0.0070006,1.8226e-08,-3.1414e-05,0.0014402,4.3944e-08,-3.1414e-05,0.0014402,4.3944e-08,3.9415,1e-10,0,1e-10,1.2687e-14,1,0.00275,0.06775,0,0.05
0.72519,-0.00016133,0.0073978,3.8666e-08,1.3875,-0.00016133,0.0073977,3.8661e-08,-3.0597e-05,0.0014026,4.8861e-08,-3.0597e-05,0.0014026,4.8861e-08,3.5477,1e-10,6.8543e-17,1e-10,3.5247e-29,1,0.003,0.068,0,0.05
0.75944,-0.00016952,0.0077735,5.7957e-08,1.237,-0.00016952,0.0077734,5.7952e-08,-2.9595e-05,0.0013566,5.234e-08,-2.9595e-05,0.0013566,5.234e-08,3.1723,1e-10,6.7456e-17,1e-10,1.4099e-28,1,0.00325,0.06825,0,0.05
0.78473,-0.00017585,0.0080635,7.2674e-08,1.1176,-0.00017584,0.0080633,7.2669e-08,-2.7856e-05,0.0012767,5.0064e-08,-2.7856e-05,0.0012767,5.0064e-08,2.8706,1e-10,0,1e-10,4.9028e-14,1,0.0035,0.0685,0,0.05
0.81002,-0.00018217,0.0083534,8.7392e-08,0.99822,-0.00018217,0.0083533,8.7387e-08,-2.6117e-05,0.0011969,4.7788e-08,-2.6117e-05,0.0011969,4.7788e-08,2.5689,1e-10,0,1e-10,1.7623e-29,1,0.00375,0.06875,0,0.05
0.83531,-0.0001885,0.0086434,1.0211e-07,0.8788,-0.00018849,0.0086432,1.021e-07,-2.4378e-05,0.0011171,4.5512e-08,-2.4378e-05,0.0011171,4.5512e-08,2.2673,1e-10,0,1e-10,1.4099e-28,1,0.004,0.069,0,0.05
0.85258,-0.00019313,0.0088555,1.1029e-07,0.79321,-0.00019312,0.0088554,1.1028e-07,-2.244e-05,0.0010281,3.9473e-08,-2.244e-05,0.0010281,3.9473e-08,2.0487,1e-10,0,1e-10,0,1,0.00425,0.06925,0,0.05
0.86985,-0.00019775,0.0090676,1.1846e-07,0.70761,-0.00019775,0.0090675,1.1846e-07,-2.0501e-05,0.00093913,3.3435e-08,-2.0501e-05,0.00093913,3.3435e-08,1.8301,1e-10,0,1e-10,4.7215e-14,1,0.0045,0.0695,0,0.05
0.88712,-0.00020238,0.0092797,1.2664e-07,0.62201,-0.00020238,0.0092796,1.2664e-07,-1.8563e-05,0.00085016,2.7396e-08,-1.8563e-05,0.00085016,2.7396e-08,1.6115,1e-10,0,1e-10,-7.0493e-29,1,0.00475,0.06975,0,0.05
0.89992,-0.00020605,0.0094478,1.3039e-07,0.55675,-0.00020605,0.0094477,1.3039e-07,-1.6789e-05,0.00076881,2.1193e-08,-1.6789e-05,0.00076881,2.1193e-08,1.4439,1e-10,6.7459e-17,1e-10,-2.8197e-28,1,0.005,0.07,0,0.05
0.91161,-0.00020949,0.0096049,1.3303e-07,0.49658,-0.00020948,0.0096048,1.3303e-07,-1.5057e-05,0.00068936,1.495e-08,-1.5057e-05,0.00068936,1.495e-08,1.289,1e-10,0,1e-10,-3.9789e-14,1,0.00525,0.07025,0,0.05
0.92329,-0.00021292,0.009762,1.3567e-07,0.4364,-0.00021292,0.0097619,1.3567e-07,-1.3325e-05,0.00060991,8.7057e-09,-1.3325e-05,0.00060991,8.7057e-09,1.1341,1e-10,0,1e-10,-8.4592e-28,1,0.0055,0.0705,0,0.05
