"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.2157e-06,-3.9598e-10,2.1599e-08,-1.3067e-10,0.0001078,-3.96e-10,2.16e-08,-1.3067e-10,1.837e-10,-8.8901e-09,1.8705e-11,1.837e-10,-8.8901e-09,1.8705e-11,6.3992,0.002446,-1.1279e-27,1,0,0.065,0,0.02
4.2889e-06,-8.2267e-10,4.2141e-08,-1.9502e-10,0.00010862,-8.227e-10,4.2142e-08,-1.9503e-10,3.5818e-10,-1.697e-08,2.7416e-11,3.5818e-10,-1.697e-08,2.7416e-11,4.3994,0.0016816,-1.4099e-28,1,0.00025,0.06525,0,0.02
6.3621e-06,-1.2493e-09,6.2682e-08,-2.5938e-10,0.00010944,-1.2494e-09,6.2684e-08,-2.5938e-10,5.3266e-10,-2.505e-08,3.6126e-11,5.3266e-10,-2.505e-08,3.6126e-11,2.3997,0.00091727,-1.8219e-13,1,0.0005,0.0655,0,0.02
8.4354e-06,-1.676e-09,8.3223e-08,-3.2373e-10,0.00011025,-1.6761e-09,8.3227e-08,-3.2374e-10,7.0714e-10,-3.313e-08,4.4836e-11,7.0714e-10,-3.313e-08,4.4836e-11,0.39995,0.00015288,-8.4592e-28,1,0.00075001,0.06575,0,0.02
1.1112e-05,-2.2541e-09,1.1019e-07,-3.6753e-10,0.00011218,-2.2542e-09,1.1019e-07,-3.6753e-10,9.2624e-10,-4.3134e-08,4.9855e-11,9.2624e-10,-4.3134e-08,4.9855e-11,1e-10,0,7.0493e-29,1,0.001,0.066,0,0.02
1.394e-05,-2.87e-09,1.3876e-07,-4.0619e-10,0.00011439,-2.8701e-09,1.3877e-07,-4.0619e-10,1.1565e-09,-5.362e-08,5.395e-11,1.1565e-09,-5.362e-08,5.395e-11,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.02
1.6767e-05,-3.4859e-09,1.6734e-07,-4.4485e-10,0.0001166,-3.486e-09,1.6734e-07,-4.4485e-10,1.3868e-09,-6.4107e-08,5.8046e-11,1.3868e-09,-6.4107e-08,5.8046e-11,1e-10,0,7.0493e-29,1,0.0015,0.0665,0,0.02
1.9727e-05,-4.1324e-09,1.9765e-07,-4.785e-10,0.00012011,-4.1326e-09,1.9766e-07,-4.785e-10,1.6163e-09,-7.459e-08,6.0885e-11,1.6163e-09,-7.459e-08,6.0885e-11,1e-10,0,0,1,0.00175,0.06675,0,0.02
2.2774e-05,-4.7994e-09,2.2912e-07,-5.088e-10,0.00012448,-4.7996e-09,2.2913e-07,-5.0881e-10,1.8452e-09,-8.5071e-08,6.2887e-11,1.8452e-09,-8.5071e-08,6.2887e-11,1e-10,0,0,1,0.002,0.067,0,0.02
2.5821e-05,-5.4664e-09,2.6059e-07,-5.3911e-10,0.00012885,-5.4666e-09,2.606e-07,-5.3912e-10,2.0742e-09,-9.5552e-08,6.4889e-11,2.0742e-09,-9.5552e-08,6.4889e-11,1e-10,0,-1.4099e-28,1,0.00225,0.06725,0,0.02
