"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.049632,1.9119,0.294,0,1,0,0.065,0,0.02
0.0018794,-6.1969e-10,1.8607e-05,8.7316e-10,0.06747,1.7755,0.294,4.9566e-32,1,0.00025,0.06525,0,0.02
0.0037588,-1.2394e-09,3.7212e-05,1.7463e-09,0.085308,1.6391,0.29399,0,1,0.0005,0.0655,0,0.02
0.0056383,-1.8591e-09,5.5819e-05,2.6195e-09,0.10315,1.5026,0.29399,-2.4783e-32,1,0.00075001,0.06575,0,0.02
0.0075177,-2.4787e-09,7.4425e-05,3.4926e-09,0.12098,1.3662,0.29399,-9.9133e-32,1,0.001,0.066,0,0.02
0.011441,-3.6515e-09,0.00011414,4.6742e-09,0.15492,1.1744,0.29399,-4.9566e-32,1,0.00125,0.06625,0,0.02
0.015365,-4.8243e-09,0.00015385,5.8558e-09,0.18885,0.98255,0.29399,0,1,0.0015,0.0665,0,0.02
0.019288,-5.9971e-09,0.00019357,7.0374e-09,0.22278,0.79073,0.29399,0,1,0.00175,0.06675,0,0.02
0.023212,-7.17e-09,0.00023328,8.2191e-09,0.25672,0.59891,0.29398,0,1,0.002,0.067,0,0.02
0.031083,-1.0256e-08,0.00031444,1.0474e-08,0.315,0.52118,0.29398,-2.4783e-32,1,0.00225,0.06725,0,0.02
0.038955,-1.3341e-08,0.0003956,1.273e-08,0.37328,0.44346,0.29398,0,1,0.0025,0.0675,0,0.02
0.046826,-1.6427e-08,0.00047676,1.4985e-08,0.43156,0.36573,0.29398,4.9566e-32,1,0.00275,0.06775,0,0.02
0.054698,-1.9512e-08,0.00055792,1.724e-08,0.48984,0.28801,0.29398,1.9827e-31,1,0.003,0.068,0,0.02
0.06876,-2.5626e-08,0.00070551,2.1669e-08,0.57206,0.25601,0.29398,4.9566e-32,1,0.00325,0.06825,0,0.02
0.082822,-3.174e-08,0.00085311,2.6099e-08,0.65428,0.22402,0.29398,2.079e-25,1,0.0035,0.0685,0,0.02
0.096885,-3.7855e-08,0.0010007,3.0529e-08,0.73649,0.19202,0.29398,-4.9566e-32,1,0.00375,0.06875,0,0.02
0.11095,-4.3968e-08,0.0011483,3.4958e-08,0.81871,0.16003,0.29398,0,1,0.004,0.069,0,0.02
0.13287,-5.4105e-08,0.0013826,4.2742e-08,0.91252,0.14597,0.29398,-4.9566e-32,1,0.00425,0.06925,0,0.02
0.15479,-6.424e-08,0.0016169,5.0526e-08,1.0063,0.13192,0.29397,0,1,0.0045,0.0695,0,0.02
0.17671,-7.4376e-08,0.0018513,5.831e-08,1.1001,0.11787,0.29397,-4.9566e-32,1,0.00475,0.06975,0,0.02
0.19863,-8.4512e-08,0.0020856,6.6094e-08,1.1939,0.10381,0.29397,0,1,0.005,0.07,0,0.02
0.22836,-9.8684e-08,0.0024097,7.7614e-08,1.2756,0.097526,0.29397,0,1,0.00525,0.07025,0,0.02
0.2581,-1.1286e-07,0.0027338,8.9134e-08,1.3573,0.091239,0.29397,0,1,0.0055,0.0705,0,0.02
0.28783,-1.2703e-07,0.003058,1.0065e-07,1.439,0.084952,0.29397,-2.4783e-32,1,0.00575,0.07075,0,0.02
0.31757,-1.412e-07,0.0033821,1.1217e-07,1.5208,0.078665,0.29397,-9.9133e-32,1,0.006,0.071,0,0.02
0.35272,-1.5739e-07,0.0037736,1.2592e-07,1.5643,0.076372,0.29397,3.0454e-28,1,0.00625,0.07125,0,0.02
0.38787,-1.7359e-07,0.0041652,1.3966e-07,1.6079,0.074079,0.29397,1.58e-22,1,0.0065,0.0715,0,0.02
0.42302,-1.8978e-07,0.0045567,1.534e-07,1.6514,0.071786,0.29397,-3.0454e-28,1,0.00675,0.07175,0,0.02
0.45817,-2.0598e-07,0.0049483,1.6714e-07,1.695,0.069492,0.29397,2.8423e-27,1,0.007,0.072,0,0.02
0.49444,-2.202e-07,0.0053626,1.7954e-07,1.6852,0.069961,0.29397,-1.0151e-28,1,0.00725,0.07225,0,0.02
0.53071,-2.3443e-07,0.0057769,1.9194e-07,1.6755,0.070429,0.29397,0,1,0.0075,0.0725,0,0.02
0.56698,-2.4866e-07,0.0061913,2.0434e-07,1.6657,0.070898,0.29397,-1.0151e-28,1,0.00775,0.07275,0,0.02
