"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-06,-1.1207e-10,1.7953e-08,-3.4103e-10,5.9571e-06,-1.2063e-10,1.7954e-08,-3.3671e-10,-3.3611e-06,1.3776e-07,1.6957e-06,-3.3611e-06,1.3776e-07,1.6957e-06,2.7904e-05,1e-10,0,1e-10,2.1148e-28,1,0.00475,0.06975,0,0.01
1.87e-06,-1.2835e-10,1.9643e-08,-3.6328e-10,6.5005e-06,-1.3754e-10,1.9643e-08,-3.5981e-10,-3.609e-06,1.5908e-07,1.362e-06,-3.609e-06,1.5908e-07,1.362e-06,2.9608e-05,1.0112e-10,1.7271e-17,1e-10,-2.8197e-28,1,0.005,0.07,0,0.01
2.0307e-06,-1.4574e-10,2.141e-08,-3.8654e-10,7.0819e-06,-1.5554e-10,2.1411e-08,-3.8398e-10,-3.8469e-06,1.796e-07,1.0038e-06,-3.8469e-06,1.796e-07,1.0038e-06,3.1425e-05,1.0204e-10,3.3467e-17,1e-10,-3.9789e-14,1,0.00525,0.07025,0,0.01
2.1915e-06,-1.6314e-10,2.3177e-08,-4.098e-10,7.6634e-06,-1.7355e-10,2.3178e-08,-4.0815e-10,-4.0849e-06,2.0011e-07,6.455e-07,-4.0849e-06,2.0011e-07,6.455e-07,3.3243e-05,1.0099e-10,1.7275e-17,1e-10,-5.6395e-28,1,0.0055,0.0705,0,0.01
2.3824e-06,-1.8596e-10,2.5292e-08,-4.3721e-10,8.4248e-06,-1.9686e-10,2.5292e-08,-4.3663e-10,-4.2773e-06,2.1689e-07,2.2874e-07,-4.2773e-06,2.1689e-07,2.2874e-07,3.5594e-05,1e-10,0,1e-10,1.0574e-28,1,0.00575,0.07075,0,0.01
2.5936e-06,-2.1241e-10,2.7637e-08,-4.674e-10,9.3063e-06,-2.2372e-10,2.7638e-08,-4.6799e-10,-4.4395e-06,2.3116e-07,-2.2704e-07,-4.4395e-06,2.3116e-07,-2.2704e-07,3.8301e-05,1e-10,0,1e-10,0,1,0.006,0.071,0,0.01
2.8047e-06,-2.3885e-10,2.9983e-08,-4.9759e-10,1.0188e-05,-2.5058e-10,2.9984e-08,-4.9934e-10,-4.6017e-06,2.4544e-07,-6.8281e-07,-4.6017e-06,2.4544e-07,-6.8281e-07,4.1007e-05,1.0081e-10,1.7283e-17,1e-10,1.0574e-28,1,0.00625,0.07125,0,0.01
3.0465e-06,-2.7123e-10,3.2681e-08,-5.3154e-10,1.1268e-05,-2.8327e-10,3.2682e-08,-5.3452e-10,-4.7256e-06,2.5612e-07,-1.1674e-06,-4.7256e-06,2.5612e-07,-1.1674e-06,4.4295e-05,1e-10,0,1e-10,1.4099e-28,1,0.0065,0.0715,0,0.01
3.3344e-06,-3.1251e-10,3.5907e-08,-5.7113e-10,1.2647e-05,-3.2472e-10,3.5908e-08,-5.7546e-10,-4.7921e-06,2.6142e-07,-1.6952e-06,-4.7921e-06,2.6142e-07,-1.6952e-06,4.8456e-05,1.007e-10,1.729e-17,1e-10,1.1231e-14,1,0.00675,0.07175,0,0.01
3.6222e-06,-3.5379e-10,3.9134e-08,-6.1073e-10,1.4025e-05,-3.6617e-10,3.9135e-08,-6.164e-10,-4.8586e-06,2.6673e-07,-2.223e-06,-4.8586e-06,2.6673e-07,-2.223e-06,5.2617e-05,1e-10,0,1e-10,0,1,0.007,0.072,0,0.01
3.9341e-06,-4.0008e-10,4.2638e-08,-6.5288e-10,1.5578e-05,-4.1257e-10,4.2639e-08,-6.5993e-10,-4.9028e-06,2.6947e-07,-2.7599e-06,-4.9028e-06,2.6947e-07,-2.7599e-06,5.7281e-05,1e-10,0,1e-10,2.1148e-28,1,0.00725,0.07225,0,0.01
4.3427e-06,-4.6638e-10,4.7256e-08,-7.0528e-10,1.783e-05,-4.7876e-10,4.7257e-08,-7.1379e-10,-4.8577e-06,2.62e-07,-3.3332e-06,-4.8577e-06,2.62e-07,-3.3332e-06,6.3961e-05,1e-10,0,1e-10,4.3486e-14,1,0.0075,0.0725,0,0.01
4.7513e-06,-5.3269e-10,5.1874e-08,-7.5767e-10,2.0081e-05,-5.4494e-10,5.1875e-08,-7.6765e-10,-4.8125e-06,2.5453e-07,-3.9065e-06,-4.8125e-06,2.5453e-07,-3.9065e-06,7.0641e-05,1.0049e-10,1.7306e-17,1e-10,1.7623e-29,1,0.00775,0.07275,0,0.01
5.1598e-06,-5.9899e-10,5.6491e-08,-8.1007e-10,2.2332e-05,-6.1113e-10,5.6492e-08,-8.2151e-10,-4.7674e-06,2.4706e-07,-4.4798e-06,-4.7674e-06,2.4706e-07,-4.4798e-06,7.732e-05,1e-10,0,1e-10,4.2296e-28,1,0.008,0.073,0,0.01
5.7677e-06,-7.0916e-10,6.3413e-08,-8.8e-10,2.6225e-05,-7.2087e-10,6.3414e-08,-8.9294e-10,-4.5975e-06,2.2146e-07,-5.0672e-06,-4.5975e-06,2.2146e-07,-5.0672e-06,8.867e-05,1e-10,0,1e-10,2.1148e-28,1,0.00825,0.07325,0,0.01
6.3756e-06,-8.1933e-10,7.0334e-08,-9.4994e-10,3.0117e-05,-8.3061e-10,7.0336e-08,-9.6437e-10,-4.4276e-06,1.9585e-07,-5.6547e-06,-4.4276e-06,1.9585e-07,-5.6547e-06,0.00010002,1e-10,0,1e-10,2.2912e-13,1,0.0085,0.0735,0,0.01
6.9835e-06,-9.2951e-10,7.7256e-08,-1.0199e-09,3.4009e-05,-9.4035e-10,7.7257e-08,-1.0358e-09,-4.2577e-06,1.7025e-07,-6.2421e-06,-4.2577e-06,1.7025e-07,-6.2421e-06,0.00011137,1.0031e-10,1.7326e-17,1e-10,2.2558e-27,1,0.00875,0.07375,0,0.01
7.8712e-06,-1.1045e-09,8.7426e-08,-1.1092e-09,4.059e-05,-1.1146e-09,8.7427e-08,-1.1266e-09,-3.9803e-06,1.2435e-07,-6.8067e-06,-3.9803e-06,1.2435e-07,-6.8067e-06,0.00013025,9.9725e-11,-1.7331e-17,1e-10,0,1,0.009,0.074,0,0.01
8.829e-06,-1.2957e-09,9.8407e-08,-1.2035e-09,4.7843e-05,-1.305e-09,9.8409e-08,-1.2223e-09,-3.676e-06,7.3373e-08,-7.3655e-06,-3.676e-06,7.3373e-08,-7.3655e-06,0.00015102,1.0024e-10,1.7336e-17,1e-10,-3.618e-14,1,0.00925,0.07425,0,0.01
9.7867e-06,-1.4869e-09,1.0939e-07,-1.2977e-09,5.5096e-05,-1.4954e-09,1.0939e-07,-1.3179e-09,-3.3718e-06,2.2398e-08,-7.9243e-06,-3.3718e-06,2.2398e-08,-7.9243e-06,0.00017179,1e-10,0,1e-10,-8.4592e-28,1,0.0095,0.0745,0,0.01
1.1144e-05,-1.7742e-09,1.2502e-07,-1.4124e-09,6.6948e-05,-1.7818e-09,1.2503e-07,-1.4339e-09,-2.9854e-06,-4.9238e-08,-8.4275e-06,-2.9854e-06,-4.9238e-08,-8.4275e-06,0.00020522,1.0017e-10,1.6263e-17,1e-10,0,1,0.00975,0.07475,0,0.01
1.2767e-05,-2.1257e-09,1.4376e-07,-1.5408e-09,8.1866e-05,-2.1322e-09,1.4376e-07,-1.5635e-09,-2.5443e-06,-1.3465e-07,-8.8935e-06,-2.5443e-06,-1.3465e-07,-8.8935e-06,0.0002471,1e-10,0,1e-10,0,1,0.01,0.075,0,0.01
1.439e-05,-2.4772e-09,1.625e-07,-1.6692e-09,9.6784e-05,-2.4826e-09,1.625e-07,-1.6931e-09,-2.1033e-06,-2.2006e-07,-9.3596e-06,-2.1033e-06,-2.2006e-07,-9.3596e-06,0.00028898,1.0012e-10,1.6272e-17,1e-10,-3.5247e-29,1,0.01025,0.07525,0,0.01
1.6576e-05,-2.9682e-09,1.8782e-07,-1.8174e-09,0.0001197,-2.9723e-09,1.8782e-07,-1.8423e-09,-1.6133e-06,-3.2327e-07,-9.7484e-06,-1.6133e-06,-3.2327e-07,-9.7484e-06,0.00035247,9.9891e-11,-1.7362e-17,1e-10,1.4099e-28,1,0.0105,0.0755,0,0.01
