"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001026,-2.1609e-07,1.0001e-05,-3.7306e-09,0.056432,-2.1604e-07,9.999e-06,-3.7293e-09,-4.8026e-07,2.2361e-05,-1.4798e-08,-4.8026e-07,2.2361e-05,-1.4798e-08,0.015494,0.0024496,-1.1279e-27,1,0,0.065,0,0.04
0.0023145,-4.9327e-07,2.2754e-05,-6.2035e-09,0.064012,-4.9316e-07,2.2749e-05,-6.2013e-09,-1.136e-06,5.258e-05,-2.4126e-08,-1.136e-06,5.258e-05,-2.4126e-08,0.010652,0.0016841,-2.1148e-28,1,0.00025,0.06525,0,0.04
0.003603,-7.7044e-07,3.5507e-05,-8.6763e-09,0.071592,-7.7026e-07,3.5499e-05,-8.6732e-09,-1.7917e-06,8.2797e-05,-3.3454e-08,-1.7917e-06,8.2797e-05,-3.3454e-08,0.0058101,0.00091862,-1.8219e-13,1,0.0005,0.0655,0,0.04
0.0048915,-1.0476e-06,4.826e-05,-1.1149e-08,0.079171,-1.0474e-06,4.8249e-05,-1.1145e-08,-2.4474e-06,0.00011302,-4.2782e-08,-2.4474e-06,0.00011302,-4.2782e-08,0.00096836,0.0001531,0,1,0.00075001,0.06575,0,0.04
0.0071207,-1.5349e-06,7.0656e-05,-1.3906e-08,0.092283,-1.5345e-06,7.0639e-05,-1.3901e-08,-3.6623e-06,0.00016889,-5.2609e-08,-3.6623e-06,0.00016889,-5.2609e-08,1e-10,6.8541e-17,7.0493e-29,1,0.001,0.066,0,0.04
0.0095851,-2.0746e-06,9.5462e-05,-1.6734e-08,0.10678,-2.0741e-06,9.5439e-05,-1.6728e-08,-5.0169e-06,0.00023119,-6.2561e-08,-5.0169e-06,0.00023119,-6.2561e-08,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.04
0.01205,-2.6144e-06,0.00012027,-1.9562e-08,0.12127,-2.6138e-06,0.00012024,-1.9555e-08,-6.3716e-06,0.00029348,-7.2512e-08,-6.3716e-06,0.00029348,-7.2512e-08,1e-10,0,1.4099e-28,1,0.0015,0.0665,0,0.04
0.015358,-3.3473e-06,0.00015396,-2.2946e-08,0.14131,-3.3465e-06,0.00015392,-2.2938e-08,-8.2815e-06,0.00038132,-8.3863e-08,-8.2815e-06,0.00038132,-8.3863e-08,1e-10,0,-7.0493e-29,1,0.00175,0.06675,0,0.04
0.019228,-4.2089e-06,0.00019357,-2.6703e-08,0.16505,-4.2079e-06,0.00019352,-2.6693e-08,-1.0562e-05,0.0004862,-9.6148e-08,-1.0562e-05,0.0004862,-9.6148e-08,1e-10,0,0,1,0.002,0.067,0,0.04
0.023099,-5.0705e-06,0.00023318,-3.0459e-08,0.18878,-5.0693e-06,0.00023312,-3.0448e-08,-1.2842e-05,0.00059107,-1.0843e-07,-1.2842e-05,0.00059107,-1.0843e-07,1e-10,6.7454e-17,0,1,0.00225,0.06725,0,0.04
