"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2186e-05,-2.5498e-09,1.1879e-07,-6.8488e-11,0.00059536,-2.5498e-09,1.1879e-07,-6.8489e-11,6.3044e-11,-3.4538e-09,1.4255e-11,6.3044e-11,-3.4538e-09,1.4255e-11,1.589,0.0024494,0,1,0,0.065,0,0.03
2.3712e-05,-5.0244e-09,2.3298e-07,-1.0258e-10,0.00060351,-5.0245e-09,2.3298e-07,-1.0259e-10,2.4926e-10,-1.2289e-08,2.3415e-11,2.4926e-10,-1.2289e-08,2.3415e-11,1.0924,0.0016839,-7.0493e-29,1,0.00025,0.06525,0,0.03
3.5237e-05,-7.499e-09,3.4716e-07,-1.3668e-10,0.00061165,-7.4991e-09,3.4716e-07,-1.3668e-10,4.3547e-10,-2.1125e-08,3.2574e-11,4.3547e-10,-2.1125e-08,3.2574e-11,0.59588,0.00091852,-1.8219e-13,1,0.0005,0.0655,0,0.03
4.6762e-05,-9.9737e-09,4.6135e-07,-1.7078e-10,0.0006198,-9.9738e-09,4.6135e-07,-1.7078e-10,6.2168e-10,-2.9961e-08,4.1733e-11,6.2168e-10,-2.9961e-08,4.1733e-11,0.099314,0.00015309,-2.8197e-28,1,0.00075001,0.06575,0,0.03
6.1978e-05,-1.3301e-08,6.146e-07,-1.9726e-10,0.00064176,-1.3301e-08,6.1461e-07,-1.9727e-10,1.0714e-09,-5.0987e-08,5.3663e-11,1.0714e-09,-5.0987e-08,5.3663e-11,9.9979e-11,-3.4813e-17,0,1,0.001,0.066,0,0.03
7.8116e-05,-1.6842e-08,7.7762e-07,-2.2184e-10,0.00066718,-1.6842e-08,7.7763e-07,-2.2185e-10,1.587e-09,-7.5061e-08,6.6285e-11,1.587e-09,-7.5061e-08,6.6285e-11,9.9979e-11,-3.4813e-17,1.3604e-14,1,0.00125,0.06625,0,0.03
9.4255e-05,-2.0383e-08,9.4065e-07,-2.4642e-10,0.0006926,-2.0383e-08,9.4066e-07,-2.4643e-10,2.1027e-09,-9.9136e-08,7.8907e-11,2.1027e-09,-9.9136e-08,7.8907e-11,1.0002e-10,3.3726e-17,7.0493e-29,1,0.0015,0.0665,0,0.03
0.0001121,-2.4341e-08,1.1232e-06,-2.7506e-10,0.00074314,-2.4342e-08,1.1232e-06,-2.7507e-10,2.9497e-09,-1.3867e-07,9.7763e-11,2.9497e-09,-1.3867e-07,9.7763e-11,9.9981e-11,-3.4814e-17,-7.0493e-29,1,0.00175,0.06675,0,0.03
0.00013107,-2.8578e-08,1.3188e-06,-3.0642e-10,0.00081043,-2.8579e-08,1.3188e-06,-3.0644e-10,4.0177e-09,-1.885e-07,1.2077e-10,4.0177e-09,-1.885e-07,1.2077e-10,1e-10,0,0,1,0.002,0.067,0,0.03
0.00015005,-3.2815e-08,1.5144e-06,-3.3778e-10,0.00087771,-3.2815e-08,1.5144e-06,-3.378e-10,5.0857e-09,-2.3834e-07,1.4378e-10,5.0857e-09,-2.3834e-07,1.4378e-10,1e-10,0,-7.0493e-29,1,0.00225,0.06725,0,0.03
0.00017196,-3.7739e-08,1.7417e-06,-3.7839e-10,0.00098258,-3.7739e-08,1.7418e-06,-3.7841e-10,6.6367e-09,-3.1057e-07,1.7501e-10,6.6367e-09,-3.1057e-07,1.7501e-10,1e-10,0,1.4099e-28,1,0.0025,0.0675,0,0.03
0.00019825,-4.3692e-08,2.0167e-06,-4.3287e-10,0.0011438,-4.3693e-08,2.0168e-06,-4.3289e-10,8.9121e-09,-4.1641e-07,2.1856e-10,8.9121e-09,-4.1641e-07,2.1856e-10,1.0001e-10,3.3726e-17,1.2687e-14,1,0.00275,0.06775,0,0.03
0.00022455,-4.9646e-08,2.2917e-06,-4.8735e-10,0.0013051,-4.9647e-08,2.2918e-06,-4.8738e-10,1.1188e-08,-5.2226e-07,2.6211e-10,1.1188e-08,-5.2226e-07,2.6211e-10,1.0001e-10,3.3726e-17,0,1,0.003,0.068,0,0.03
0.00025428,-5.6398e-08,2.6036e-06,-5.5144e-10,0.0015096,-5.64e-08,2.6036e-06,-5.5147e-10,1.4031e-08,-6.5438e-07,3.1395e-10,1.4031e-08,-6.5438e-07,3.1395e-10,1e-10,0,-1.4099e-28,1,0.00325,0.06825,0,0.03
0.00029778,-6.6344e-08,3.0629e-06,-6.5392e-10,0.0018875,-6.6346e-08,3.063e-06,-6.5396e-10,1.9147e-08,-8.9163e-07,3.9893e-10,1.9147e-08,-8.9163e-07,3.9893e-10,9.9991e-11,-3.4814e-17,4.9028e-14,1,0.0035,0.0685,0,0.03
