"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.032997,-1.5097e-07,0.00038555,4.6698e-07,0.42633,0,0,-2.4783e-32,1,0.01275,0.07775,0,0.02
0.0394,-1.7075e-07,0.00046098,5.3483e-07,0.50065,3.4889e-17,3.4824e-17,1.9827e-31,1,0.013,0.078,0,0.02
0.054241,-1.9764e-07,0.00063832,6.3753e-07,0.63082,0,0,-2.4783e-32,1,0.01325,0.07825,0,0.02
0.069082,-2.2452e-07,0.00081566,7.4024e-07,0.76099,0,0,0,1,0.0135,0.0785,0,0.02
0.083922,-2.5141e-07,0.000993,8.4295e-07,0.89116,-2.0438e-17,-3.4822e-17,-2.4783e-32,1,0.01375,0.07875,0,0.02
0.098763,-2.783e-07,0.0011703,9.4565e-07,1.0213,-1.562e-17,-3.4821e-17,1.9827e-31,1,0.014,0.079,0,0.02
0.12678,-3.0291e-07,0.0015102,1.0718e-06,1.1884,0,0,1.0151e-28,1,0.01425,0.07925,0,0.02
0.15479,-3.2751e-07,0.0018501,1.198e-06,1.3555,1.2189e-17,3.482e-17,1.2786e-22,1,0.0145,0.0795,0,0.02
0.18281,-3.5212e-07,0.00219,1.3242e-06,1.5225,0,0,-1.0151e-28,1,0.01475,0.07975,0,0.02
0.21083,-3.7673e-07,0.0025299,1.4504e-06,1.6896,-8.7571e-18,-3.4819e-17,1.2181e-27,1,0.015,0.08,0,0.02
0.25295,-3.8279e-07,0.0030496,1.575e-06,1.826,0,0,-3.0454e-28,1,0.01525,0.08025,0,0.02
0.29507,-3.8886e-07,0.0035693,1.6997e-06,1.9623,0,0,0,1,0.0155,0.0805,0,0.02
0.3372,-3.9493e-07,0.004089,1.8244e-06,2.0986,6.9123e-18,3.4818e-17,-1.0151e-28,1,0.01575,0.08075,0,0.02
0.37932,-4.01e-07,0.0046087,1.9491e-06,2.235,-6.2974e-18,-3.4818e-17,-1.2181e-27,1,0.016,0.081,0,0.02
0.42901,-3.7838e-07,0.0052341,2.0385e-06,2.2615,-6.1992e-18,-3.4818e-17,0,1,0.01625,0.08125,0,0.02
0.4787,-3.5576e-07,0.0058596,2.128e-06,2.288,0,0,0,1,0.0165,0.0815,0,0.02
0.52839,-3.3314e-07,0.006485,2.2175e-06,2.3146,0,0,2.4783e-32,1,0.01675,0.08175,0,0.02
