"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.043352,-9.1817e-06,0.00042258,-8.2891e-08,2.0435,-9.1817e-06,0.00042258,-8.2891e-08,-3.506e-10,1.6065e-08,-1.3424e-13,-3.506e-10,1.6065e-08,-1.3424e-13,0.00070767,0.0024497,-1.6918e-27,1,0,0.065,0,0.05
0.080596,-1.7227e-05,0.00079172,-1.1635e-07,1.9898,-1.7227e-05,0.00079172,-1.1635e-07,-6.5665e-10,3.0086e-08,4.5462e-13,-6.5665e-10,3.0086e-08,4.5462e-13,0.00048652,0.0016842,-2.8197e-28,1,0.00025,0.06525,0,0.05
0.11784,-2.5272e-05,0.0011609,-1.498e-07,1.9362,-2.5272e-05,0.0011609,-1.498e-07,-9.627e-10,4.4107e-08,1.0435e-12,-9.627e-10,4.4107e-08,1.0435e-12,0.00026538,0.00091865,-1.8219e-13,1,0.0005,0.0655,0,0.05
0.15508,-3.3317e-05,0.00153,-1.8326e-07,1.8825,-3.3317e-05,0.00153,-1.8326e-07,-1.2688e-09,5.8128e-08,1.6323e-12,-1.2688e-09,5.8128e-08,1.6323e-12,4.423e-05,0.00015311,-1.1279e-27,1,0.00075001,0.06575,0,0.05
0.19786,-4.2729e-05,0.0019615,-1.9375e-07,1.8138,-4.2729e-05,0.0019615,-1.9375e-07,-1.6212e-09,7.4283e-08,2.8872e-12,-1.6212e-09,7.4283e-08,2.8872e-12,1e-10,0,-3.5247e-29,1,0.001,0.066,0,0.05
0.24202,-5.2483e-05,0.0024087,-1.985e-07,1.7413,-5.2483e-05,0.0024087,-1.985e-07,-1.9852e-09,9.0972e-08,4.3085e-12,-1.9852e-09,9.0972e-08,4.3085e-12,1e-10,-6.7453e-17,1.3604e-14,1,0.00125,0.06625,0,0.05
0.28618,-6.2237e-05,0.0028558,-2.0326e-07,1.6689,-6.2237e-05,0.0028558,-2.0326e-07,-2.3492e-09,1.0766e-07,5.7299e-12,-2.3492e-09,1.0766e-07,5.7299e-12,1e-10,0,0,1,0.0015,0.0665,0,0.05
0.32664,-7.1307e-05,0.0032719,-1.9966e-07,1.5996,-7.1307e-05,0.0032719,-1.9966e-07,-2.6757e-09,1.2263e-07,7.293e-12,-2.6757e-09,1.2263e-07,7.293e-12,1e-10,-6.7454e-17,0,1,0.00175,0.06675,0,0.05
0.36462,-7.9922e-05,0.0036672,-1.9049e-07,1.5325,-7.9922e-05,0.0036672,-1.9049e-07,-2.9771e-09,1.3646e-07,8.9506e-12,-2.9771e-09,1.3646e-07,8.9506e-12,1e-10,0,0,1,0.002,0.067,0,0.05
0.40261,-8.8536e-05,0.0040626,-1.8132e-07,1.4654,-8.8536e-05,0.0040626,-1.8132e-07,-3.2784e-09,1.5029e-07,1.0608e-11,-3.2784e-09,1.5029e-07,1.0608e-11,1e-10,-6.7454e-17,0,1,0.00225,0.06725,0,0.05
