"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0082159,-1.734e-06,8.0087e-05,-2.4711e-08,0.40172,-1.734e-06,8.0086e-05,-2.4711e-08,-8.5557e-08,3.9449e-06,-1.0762e-09,-8.5557e-08,3.9449e-06,-1.0762e-09,0.0026677,0.0024497,-1.1279e-27,1,0,0.065,0,0.04
0.016003,-3.4132e-06,0.00015724,-3.6629e-08,0.40639,-3.4132e-06,0.00015724,-3.6629e-08,-1.6058e-07,7.3889e-06,-1.5205e-09,-1.6058e-07,7.3889e-06,-1.5205e-09,0.001834,0.0016841,-2.1148e-28,1,0.00025,0.06525,0,0.04
0.02379,-5.0925e-06,0.00023438,-4.8546e-08,0.41106,-5.0925e-06,0.00023438,-4.8546e-08,-2.3561e-07,1.0833e-05,-1.9649e-09,-2.3561e-07,1.0833e-05,-1.9649e-09,0.0010004,0.00091863,-1.8219e-13,1,0.0005,0.0655,0,0.04
0.031577,-6.7718e-06,0.00031153,-6.0464e-08,0.41574,-6.7717e-06,0.00031153,-6.0464e-08,-3.1064e-07,1.4277e-05,-2.4092e-09,-3.1064e-07,1.4277e-05,-2.4092e-09,0.00016673,0.00015311,0,1,0.00075001,0.06575,0,0.04
0.041735,-9.0017e-06,0.00041385,-6.8186e-08,0.42446,-9.0016e-06,0.00041385,-6.8186e-08,-3.9909e-07,1.8332e-05,-2.5956e-09,-3.9909e-07,1.8332e-05,-2.5956e-09,1e-10,6.8541e-17,7.0493e-29,1,0.001,0.066,0,0.04
0.052485,-1.1369e-05,0.00052246,-7.486e-08,0.43419,-1.1369e-05,0.00052246,-7.4859e-08,-4.909e-07,2.254e-05,-2.7176e-09,-4.909e-07,2.254e-05,-2.7176e-09,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.04
0.063235,-1.3737e-05,0.00063107,-8.1533e-08,0.44392,-1.3737e-05,0.00063107,-8.1533e-08,-5.8271e-07,2.6748e-05,-2.8395e-09,-5.8271e-07,2.6748e-05,-2.8395e-09,1e-10,0,1.4099e-28,1,0.0015,0.0665,0,0.04
0.07452,-1.6254e-05,0.00074663,-8.7155e-08,0.45741,-1.6254e-05,0.00074663,-8.7155e-08,-6.693e-07,3.072e-05,-2.8888e-09,-6.693e-07,3.072e-05,-2.8888e-09,1e-10,0,-7.0493e-29,1,0.00175,0.06675,0,0.04
0.086161,-1.8872e-05,0.00086683,-9.2075e-08,0.4734,-1.8872e-05,0.00086683,-9.2075e-08,-7.524e-07,3.4533e-05,-2.8895e-09,-7.524e-07,3.4533e-05,-2.8895e-09,1e-10,0,0,1,0.002,0.067,0,0.04
0.097802,-2.1489e-05,0.00098702,-9.6995e-08,0.48939,-2.1489e-05,0.00098702,-9.6995e-08,-8.355e-07,3.8347e-05,-2.8903e-09,-8.355e-07,3.8347e-05,-2.8903e-09,1e-10,6.7454e-17,0,1,0.00225,0.06725,0,0.04
