"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.00071767,4.2895,0.0097805,0,1,0,0.065,0,0.03
3.6981e-05,5.5253e-10,3.6402e-07,-1.0369e-09,0.00090448,1.6085,0.0036677,2.4783e-32,1,0.00025,0.06525,0,0.03
5.5376e-05,7.4376e-10,5.4682e-07,-1.4357e-09,0.00099655,1.0724,0.0024451,0,1,0.0005,0.0655,0,0.03
7.3771e-05,9.35e-10,7.2963e-07,-1.8344e-09,0.0010886,0.53618,0.0012225,-4.9566e-32,1,0.00075001,0.06575,0,0.03
9.2165e-05,1.1262e-09,9.1243e-07,-2.2332e-09,0.0011807,-5.982e-14,-1.4669e-16,2.974e-31,1,0.001,0.066,0,0.03
0.00012849,1.4661e-09,1.2809e-06,-2.8331e-09,0.0014018,1.1575e-14,3.4802e-17,0,1,0.00125,0.06625,0,0.03
0.00016481,1.8061e-09,1.6494e-06,-3.4329e-09,0.0016228,0,0,0,1,0.0015,0.0665,0,0.03
0.00020113,2.146e-09,2.0179e-06,-4.0328e-09,0.0018439,0,0,4.9566e-32,1,0.00175,0.06675,0,0.03
0.00023745,2.4859e-09,2.3864e-06,-4.6326e-09,0.002065,0,0,1.9827e-31,1,0.002,0.067,0,0.03
0.00030324,3.1348e-09,3.0663e-06,-5.7213e-09,0.0025921,0,0,-2.4783e-32,1,0.00225,0.06725,0,0.03
0.00036903,3.7837e-09,3.7463e-06,-6.8099e-09,0.0031191,0,0,0,1,0.0025,0.0675,0,0.03
0.00043481,4.4326e-09,4.4262e-06,-7.8985e-09,0.0036462,-4.9619e-15,-3.4809e-17,4.9566e-32,1,0.00275,0.06775,0,0.03
0.0005006,5.0815e-09,5.1061e-06,-8.9872e-09,0.0041733,-1.1608e-14,-1.0008e-16,9.9133e-32,1,0.003,0.068,0,0.03
0.0006379,6.1538e-09,6.546e-06,-1.1231e-08,0.0054946,0,0,4.9566e-32,1,0.00325,0.06825,0,0.03
