"w","U:0","U:1","U:2","StrainRate","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,2.3403e-08,1.0994e+05,0.0063306,0,1,0,0.065,0,0.01
6.4356e-10,4.2838e-12,2.5729e-12,-3.7707e-12,1.5916e-08,41228,0.002374,0,1,0.00025,0.06525,0,0.01
7.8896e-10,4.9519e-12,3.6096e-12,-4.6851e-12,1.4052e-08,27485,0.0015827,0,1,0.0005,0.0655,0,0.01
9.3436e-10,5.6201e-12,4.6463e-12,-5.5995e-12,1.2188e-08,13742,0.00079131,0,1,0.00075001,0.06575,0,0.01
1.0798e-09,6.2882e-12,5.683e-12,-6.5139e-12,1.0325e-08,-1.2559e-09,-4.0708e-17,0,1,0.001,0.066,0,0.01
1.268e-09,6.4599e-12,7.6292e-12,-7.4984e-12,1.3063e-08,0,0,-4.9566e-32,1,0.00125,0.06625,0,0.01
1.4563e-09,6.6317e-12,9.5754e-12,-8.4829e-12,1.5802e-08,0,0,0,1,0.0015,0.0665,0,0.01
1.6445e-09,6.8035e-12,1.1522e-11,-9.4674e-12,1.854e-08,0,0,4.9566e-32,1,0.00175,0.06675,0,0.01
1.8328e-09,6.9752e-12,1.3468e-11,-1.0452e-11,2.1279e-08,0,0,-1.9827e-31,1,0.002,0.067,0,0.01
2.6439e-09,8.6992e-12,2.0787e-11,-1.4273e-11,4.1239e-08,2.6069e-10,1.6814e-17,-4.9566e-32,1,0.00225,0.06725,0,0.01
3.4549e-09,1.0423e-11,2.8106e-11,-1.8095e-11,6.1199e-08,0,0,0,1,0.0025,0.0675,0,0.01
4.266e-09,1.2147e-11,3.5424e-11,-2.1916e-11,8.1159e-08,0,0,2.4783e-32,1,0.00275,0.06775,0,0.01
5.0771e-09,1.3871e-11,4.2743e-11,-2.5738e-11,1.0112e-07,-1.8846e-10,-3.3816e-17,1.9827e-31,1,0.003,0.068,0,0.01
9.0889e-09,1.8824e-11,8.1821e-11,-4.0286e-11,2.0988e-07,0,0,4.9566e-32,1,0.00325,0.06825,0,0.01
1.3101e-08,2.3776e-11,1.209e-10,-5.4835e-11,3.1865e-07,0,0,1.0395e-25,1,0.0035,0.0685,0,0.01
1.7112e-08,2.8729e-11,1.5998e-10,-6.9383e-11,4.2741e-07,0,0,0,1,0.00375,0.06875,0,0.01
2.1124e-08,3.3682e-11,1.9905e-10,-8.3932e-11,5.3618e-07,0,0,0,1,0.004,0.069,0,0.01
4.2535e-08,4.844e-11,4.1854e-10,-1.3719e-10,1.0515e-06,1.53e-11,1.6965e-17,0,1,0.00425,0.06925,0,0.01
