"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7206e-14,2.0536e-16,2.2961e-17,-1.6631e-16,1.2402e-12,2.097e-16,2.383e-17,-1.7606e-16,2.2315e-13,3.2948e-14,-4.7637e-13,2.2315e-13,3.2948e-14,-4.7637e-13,3.7881e+08,0.001577,-1.1279e-27,1,0,0.065,0,0.01
3.6538e-14,2.7243e-16,4.1679e-17,-2.2875e-16,1.0723e-12,2.7973e-16,4.2781e-17,-2.3863e-16,4.6533e-13,3.8317e-14,-3.2705e-13,4.6533e-13,3.8317e-14,-3.2705e-13,2.6043e+08,0.0010842,-7.0493e-29,1,0.00025,0.06525,0,0.01
4.5871e-14,3.3949e-16,6.0397e-17,-2.9119e-16,9.0445e-13,3.4976e-16,6.1732e-17,-3.0119e-16,7.075e-13,4.3686e-14,-1.7773e-13,7.075e-13,4.3686e-14,-1.7773e-13,1.4206e+08,0.00059139,-1.8219e-13,1,0.0005,0.0655,0,0.01
5.5204e-14,4.0656e-16,7.9116e-17,-3.5363e-16,7.3655e-13,4.1979e-16,8.0683e-17,-3.6376e-16,9.4968e-13,4.9055e-14,-2.8401e-14,9.4968e-13,4.9055e-14,-2.8401e-14,2.3676e+07,9.8565e-05,-8.4592e-28,1,0.00075001,0.06575,0,0.01
6.5909e-14,4.687e-16,1.2009e-16,-4.3675e-16,9.0217e-13,4.8357e-16,1.2152e-16,-4.4409e-16,1.1518e-12,3.2395e-14,3.6767e-13,1.1518e-12,3.2395e-14,3.6767e-13,1e-10,0,3.5247e-29,1,0.001,0.066,0,0.01
7.6958e-14,5.2961e-16,1.6664e-16,-5.2503e-16,1.1512e-12,5.4578e-16,1.6782e-16,-5.2885e-16,1.344e-12,1.0227e-14,8.2543e-13,1.344e-12,1.0227e-14,8.2543e-13,1e-10,0,1.3604e-14,1,0.00125,0.06625,0,0.01
8.8006e-14,5.9052e-16,2.1318e-16,-6.1332e-16,1.4002e-12,6.0799e-16,2.1413e-16,-6.1362e-16,1.5361e-12,-1.1942e-14,1.2832e-12,1.5361e-12,-1.1942e-14,1.2832e-12,1e-10,0,7.0493e-29,1,0.0015,0.0665,0,0.01
1.2362e-13,7.9401e-16,3.8668e-16,-8.6555e-16,2.3927e-12,8.1274e-16,3.8721e-16,-8.6379e-16,1.756e-12,-3.3128e-14,1.7354e-12,1.756e-12,-3.3128e-14,1.7354e-12,1e-10,0,-7.0493e-29,1,0.00175,0.06675,0,0.01
1.756e-13,1.0925e-15,6.4483e-16,-1.2271e-15,3.8811e-12,1.1125e-15,6.4482e-16,-1.2242e-15,1.9944e-12,-5.3661e-14,2.1839e-12,1.9944e-12,-5.3661e-14,2.1839e-12,1e-10,0,0,1,0.002,0.067,0,0.01
2.2759e-13,1.3911e-15,9.0297e-16,-1.5886e-15,5.3694e-12,1.4123e-15,9.0243e-16,-1.5847e-15,2.2327e-12,-7.4193e-14,2.6325e-12,2.2327e-12,-7.4193e-14,2.6325e-12,1e-10,0,-7.0493e-29,1,0.00225,0.06725,0,0.01
