"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,3.3765e-05,0,0,0,0,0,0,0,0,0,9.4121e-05,103.79,0.0048844,0.003547,0,1,0,0.065,0,0.02
1.3515e-06,-2.6555e-10,1.3279e-08,-4.7557e-11,3.4317e-05,-2.6556e-10,1.328e-08,-4.7563e-11,1.7763e-10,-7.9276e-09,5.5334e-10,1.7763e-10,-7.9276e-09,5.5334e-10,9.507e-05,35.677,0.001679,0.0012193,-1.4099e-28,1,0.00025,0.06525,0,0.02
2.0049e-06,-4.0114e-10,1.9753e-08,-6.3552e-11,3.4664e-05,-4.0115e-10,1.9754e-08,-6.3559e-11,2.4972e-10,-1.1844e-08,7.5593e-10,2.4972e-10,-1.1844e-08,7.5593e-10,9.602e-05,19.461,0.00091583,0.00066507,-1.8219e-13,1,0.0005,0.0655,0,0.02
2.6583e-06,-5.3673e-10,2.6227e-08,-7.9547e-11,3.501e-05,-5.3675e-10,2.6228e-08,-7.9555e-11,3.2182e-10,-1.5761e-08,9.5853e-10,3.2182e-10,-1.5761e-08,9.5853e-10,9.6969e-05,3.2434,0.00015264,0.00011084,-8.4592e-28,1,0.00075001,0.06575,0,0.02
3.5132e-06,-7.2145e-10,3.4838e-08,-9.1252e-11,3.5928e-05,-7.2148e-10,3.484e-08,-9.1261e-11,3.8612e-10,-2.1275e-08,1.1283e-09,3.8612e-10,-2.1275e-08,1.1283e-09,9.9709e-05,1e-10,0,1e-10,7.0493e-29,1,0.001,0.066,0,0.02
4.4184e-06,-9.1844e-10,4.3984e-08,-1.0188e-10,3.699e-05,-9.1849e-10,4.3986e-08,-1.0189e-10,4.4847e-10,-2.7188e-08,1.2898e-09,4.4847e-10,-2.7188e-08,1.2898e-09,0.0001029,1e-10,0,1e-10,1.3604e-14,1,0.00125,0.06625,0,0.02
5.3236e-06,-1.1154e-09,5.3129e-08,-1.1252e-10,3.8051e-05,-1.1155e-09,5.3132e-08,-1.1253e-10,5.1083e-10,-3.3102e-08,1.4514e-09,5.1083e-10,-3.3102e-08,1.4514e-09,0.00010609,1e-10,0,1e-10,7.0493e-29,1,0.0015,0.0665,0,0.02
6.2965e-06,-1.3283e-09,6.3089e-08,-1.2244e-10,3.9813e-05,-1.3284e-09,6.3093e-08,-1.2245e-10,5.6683e-10,-4.0114e-08,1.5749e-09,5.6683e-10,-4.0114e-08,1.5749e-09,0.00011112,1e-10,0,1e-10,0,1,0.00175,0.06675,0,0.02
7.3145e-06,-1.5518e-09,7.3592e-08,-1.3189e-10,4.2043e-05,-1.5519e-09,7.3597e-08,-1.319e-10,6.186e-10,-4.786e-08,1.673e-09,6.186e-10,-4.786e-08,1.673e-09,0.00011738,1e-10,0,1e-10,0,1,0.002,0.067,0,0.02
8.3325e-06,-1.7753e-09,8.4095e-08,-1.4133e-10,4.4273e-05,-1.7754e-09,8.41e-08,-1.4134e-10,6.7037e-10,-5.5605e-08,1.7711e-09,6.7037e-10,-5.5605e-08,1.7711e-09,0.00012364,1e-10,0,1e-10,-1.4099e-28,1,0.00225,0.06725,0,0.02
