"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","g","nu_fluid","p","taw","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.0006873,0,0,0,0,0,0,0,0,0,0.0018613,5.2641,0.0048991,0.0037264,0,1,0,0.065,0,0.03
2.7819e-05,-5.9419e-09,2.7334e-07,-4.0001e-11,0.00071574,-5.942e-09,2.7334e-07,-4.0016e-11,8.0413e-10,-4.0896e-08,1.505e-10,8.0413e-10,-4.0896e-08,1.505e-10,0.0019011,1.8095,0.0016841,0.0012809,-7.0493e-29,1,0.00025,0.06525,0,0.03
4.1427e-05,-8.8767e-09,4.0815e-07,-5.3704e-11,0.00073388,-8.8768e-09,4.0816e-07,-5.3723e-11,1.2296e-09,-6.163e-08,2.0236e-10,1.2296e-09,-6.163e-08,2.0236e-10,0.0019409,0.98702,0.00091859,0.0006987,-1.8219e-13,1,0.0005,0.0655,0,0.03
5.5036e-05,-1.1811e-08,5.4297e-07,-6.7407e-11,0.00075201,-1.1812e-08,5.4298e-07,-6.7431e-11,1.6552e-09,-8.2364e-08,2.5422e-10,1.6552e-09,-8.2364e-08,2.5422e-10,0.0019807,0.1645,0.0001531,0.00011645,-2.8197e-28,1,0.00075001,0.06575,0,0.03
7.3918e-05,-1.5951e-08,7.3307e-07,-7.9705e-11,0.00080063,-1.5951e-08,7.3308e-07,-7.9734e-11,2.3456e-09,-1.1533e-07,2.9713e-10,2.3456e-09,-1.1533e-07,2.9713e-10,0.0021076,9.9966e-11,-3.4814e-17,1e-10,0,1,0.001,0.066,0,0.03
9.4118e-05,-2.0392e-08,9.3698e-07,-9.1652e-11,0.00085687,-2.0393e-08,9.37e-07,-9.1684e-11,3.1021e-09,-1.5136e-07,3.378e-10,3.1021e-09,-1.5136e-07,3.378e-10,0.0022563,9.9968e-11,-3.4814e-17,1e-10,1.3604e-14,1,0.00125,0.06625,0,0.03
0.00011432,-2.4833e-08,1.1409e-06,-1.036e-10,0.00091312,-2.4834e-08,1.1409e-06,-1.0364e-10,3.8588e-09,-1.8739e-07,3.7848e-10,3.8588e-09,-1.8739e-07,3.7848e-10,0.002405,1.0003e-10,3.3726e-17,1e-10,7.0493e-29,1,0.0015,0.0665,0,0.03
0.0001383,-3.0168e-08,1.386e-06,-1.1927e-10,0.0010141,-3.0168e-08,1.386e-06,-1.1931e-10,4.9244e-09,-2.3825e-07,4.2432e-10,4.9244e-09,-2.3825e-07,4.2432e-10,0.0026709,9.9973e-11,-3.4814e-17,1e-10,-7.0493e-29,1,0.00175,0.06675,0,0.03
0.00016481,-3.6098e-08,1.6585e-06,-1.3742e-10,0.0011449,-3.6098e-08,1.6586e-06,-1.3747e-10,6.1962e-09,-2.99e-07,4.7361e-10,6.1962e-09,-2.99e-07,4.7361e-10,0.003015,1e-10,0,1e-10,0,1,0.002,0.067,0,0.03
0.00019132,-4.2028e-08,1.9311e-06,-1.5558e-10,0.0012757,-4.2028e-08,1.9311e-06,-1.5563e-10,7.4679e-09,-3.5975e-07,5.229e-10,7.4679e-09,-3.5975e-07,5.229e-10,0.0033591,1e-10,0,1e-10,-7.0493e-29,1,0.00225,0.06725,0,0.03
0.00022332,-4.9233e-08,2.2623e-06,-1.7996e-10,0.0014643,-4.9234e-08,2.2623e-06,-1.8002e-10,9.2435e-09,-4.4403e-07,5.8421e-10,9.2435e-09,-4.4403e-07,5.8421e-10,0.0038545,1e-10,0,1e-10,1.4099e-28,1,0.0025,0.0675,0,0.03
